device_id,timestamp,alert_type,severity,message
Router-1,2026-04-18 18:43:40,Interface Down,Critical,Peer adjacency failed
Router-1,2026-04-18 18:43:40,High Latency,Warning,Secondary network degradation
Router-1,2026-04-18 18:43:40,High Latency,Warning,Secondary network degradation
Router-1,2026-04-18 18:43:40,Packet Loss,Minor,Secondary network degradation
Router-1,2026-04-18 18:43:40,Packet Loss,Minor,Secondary network degradation
Switch-1,2026-04-18 18:43:43,License Expiry,Warning,Routine telemetry scan
Switch-3,2026-04-18 18:43:46,Interface Down,Critical,Uplink trunk disconnected
Switch-3,2026-04-18 18:43:46,Port Flapping,Warning,Link instability detected
Switch-3,2026-04-18 18:43:46,Packet Loss,Minor,Link instability detected
Server-App1,2026-04-18 18:43:49,Memory Utilization High,Info,Routine telemetry scan
Server-App1,2026-04-18 18:43:52,CPU High,Info,Routine telemetry scan
Switch-2,2026-04-18 18:43:55,License Expiry,Warning,Routine telemetry scan
Router-1,2026-04-18 18:43:58,Packet Loss,Info,Routine telemetry scan
Server-DB1,2026-04-18 18:44:01,CPU High,Info,Routine telemetry scan
Switch-1,2026-04-18 18:44:04,License Expiry,Warning,Routine telemetry scan
Server-App3,2026-04-18 18:44:07,CPU High,Info,Routine telemetry scan
Server-App2,2026-04-18 18:44:10,CPU High,Info,Routine telemetry scan
Server-App2,2026-04-18 18:44:13,CPU High,Info,Routine telemetry scan
Switch-4,2026-04-18 18:44:16,Port Flapping,Info,Routine telemetry scan
Switch-4,2026-04-18 18:44:19,Port Flapping,Info,Routine telemetry scan
Server-DB1,2026-04-18 18:44:22,Memory Utilization High,Info,Routine telemetry scan
Router-1,2026-04-18 18:44:25,Packet Loss,Info,Routine telemetry scan
Router-1,2026-04-18 18:44:28,High Latency,Info,Routine telemetry scan
Switch-4,2026-04-18 18:44:31,Port Flapping,Info,Routine telemetry scan
Server-App3,2026-04-18 18:44:34,Memory Utilization High,Info,Routine telemetry scan
Server-App2,2026-04-18 18:44:37,Application Crash,Critical,Hardware boundary breached
Server-App2,2026-04-18 18:44:37,High Latency,Warning,Process starving for resources
Server-App2,2026-04-18 18:44:37,Database Disconnect,Minor,Process starving for resources
Switch-3,2026-04-18 18:44:40,License Expiry,Warning,Routine telemetry scan
